Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;14:59:50;501;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;11:32:51;502;CfgParCuba;nildo;VSetPoin;4.27;4.24;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;NumTabOp;2;6;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;FcOffTen;-167.860;-122.080;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;FcGanhoT;10.045;10.113;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;DelayLad;475;450;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;DelayLad;400;425;--------;;;
20/out;15:01:18;502;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;NumTabOp;2;6;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;FcGanhoT;10.051;10.113;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;DelayLad;500;450;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;DelayLad;375;425;--------;;;
20/out;15:20:57;503;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;FcOffTen;-61.040;-122.080;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;FcGanhoT;10.057;10.113;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;DelayLad;525;450;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;DelayLad;350;425;--------;;;
20/out;15:20:57;504;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;VSetPoin;4.29;4.24;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;FcOffTen;-152.600;-122.080;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;FcGanhoT;10.069;10.113;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;DelayLad;550;450;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;DelayLad;325;425;--------;;;
20/out;15:20:57;505;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:33:08;506;CfgParCuba;nildo;VSetPoin;4.27;4.24;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;NumTabOp;2;6;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;FcOffTen;-91.560;-122.080;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;FcGanhoT;10.054;10.113;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;DelayLad;575;450;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;DelayLad;300;425;--------;;;
20/out;15:20:57;506;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;MaxQPrev;3;10;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;FcGanhoT;10.082;10.113;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;DelayLad;600;450;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;DelayLad;275;425;--------;;;
20/out;15:20:57;507;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;VSetPoin;4.22;4.24;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;FcGanhoT;10.041;10.113;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;DelayLad;625;450;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;DelayLad;250;425;--------;;;
20/out;15:20:57;508;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_5;0.0000;42.470;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_4;0.0000;48.743;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_3;0.0000;64.801;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_2;0.0000;44.496;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_1;0.0000;14.517;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;Poly_0;0.0000;0.1790;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;NumTabOp;1;6;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;FcGanhoT;10.063;10.113;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;DelayLad;650;450;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;DelayLad;225;425;--------;;;
20/out;15:20:57;509;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;MaxQPrev;3;10;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;LimSupQP;60;960;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;FcOffTen;-91.560;-122.080;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;FcGanhoT;10.103;10.113;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;EaAtraso;1440;4800;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;DelayLad;675;450;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;DelayLad;200;425;--------;;;
20/out;15:20:57;510;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;NumTabOp;7;6;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;FcOffTen;-152.600;-122.080;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;FcGanhoT;10.035;10.113;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;DelayLad;700;450;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;DelayLad;175;425;--------;;;
20/out;15:20:57;511;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;HoraRefC;15:00;14:00;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;FcOffTen;-91.560;-122.080;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;FcGanhoT;0.9989;10.113;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;DelayLad;725;450;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;DelayLad;150;425;--------;;;
20/out;15:20:57;512;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:38:52;513;CfgParCuba;nildo;VSetPoin;4.21;4.18;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;VSetPoin;4.18;4.24;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;FcGanhoT;10.144;10.113;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;DelayLad;750;450;--------;;;
